segNum,segLength,cumLength,EInit,NInit,UpInit,psiInit,kStart,kEnd,grade,bank,maxE,maxV,frictionBase,updatedFriction,mapType,totalLength,totalSegs,creationTime,x,y,z,bufferLeft,bufferRight,width,distToLeftCurb,distToRightCurb
73,19,2994.000005,-365.492338,-22.141609,0,5.136313,0.018354,0.011953,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
74,18,3013.000006,-355.147766,-37.999785,0,5.424231,0.011953,0.025367,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
75,20.999998,3031.000006,-341.57526,-49.691952,0,5.760117,0.025367,0.000644,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
76,23,3052.000004,-321.865968,-56.73677,0,6.033238,0.000644,0.007812,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
77,39,3075.000004,-299.405012,-61.642554,0,6.130489,0.007812,-0.000796,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
78,35,3114.000004,-260.500312,-63.835897,0,6.267311,-0.000796,0.015462,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
79,24.000003,3149.000004,-225.678105,-61.56842,0,6.523978,0.015462,0.034927,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
80,16.000001,3173.000007,-204.985567,-50.155684,0,7.128651,0.034927,0.015451,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
81,24.000002,3189.000008,-197.397104,-36.194772,0,7.531675,0.015451,0.010048,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
82,21,3213.000009,-193.623695,-12.588584,0,7.837665,0.010048,-0.016111,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
83,12,3234.000009,-193.571928,8.403291,0,7.774009,-0.016111,-0.01169,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
84,29.000001,3246.000009,-191.570528,20.220888,0,7.607207,-0.01169,-0.011085,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
85,17,3275.00001,-179.974685,46.657656,0,7.27697,-0.011085,0.007717,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
86,59,3292.00001,-170.127641,60.513104,0,7.248344,0.007717,0.004807,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
87,28,3351.00001,-146.928695,114.394714,0,7.617808,0.004807,0.002929,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
88,26,3379.00001,-141.983118,141.9405,0,7.726106,0.002929,0.001198,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
89,31,3405.00001,-139.457427,167.814355,0,7.779752,0.001198,0.002597,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
90,41,3436.00001,-137.956956,198.773495,0,7.838578,0.002597,-0.000874,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
91,89,3477.00001,-138.53565,239.766695,0,7.873911,-0.000874,0.001566,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
92,51,3566.00001,-140.069946,328.747027,0,7.904728,0.001566,-0.000765,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
93,79,3617.00001,-143.681203,379.617617,0,7.925169,-0.000765,-0.000386,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
94,39,3696.00001,-147.311309,458.527314,0,7.879726,-0.000386,0.000182,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
95,67,3735.00001,-148.16592,497.51791,0,7.875755,0.000182,-0.003788,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
96,32,3802.00001,-147.064032,564.464803,0,7.754961,-0.003788,-0.026409,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
97,9.000003,3834.00001,-138.307076,594.907854,0,7.271816,-0.026409,-0.023004,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
98,26.000006,3843.000013,-132.549777,601.800752,0,7.049458,-0.023004,-0.024384,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
99,19.000002,3869.000018,-109.634408,613.189895,0,6.433407,-0.024384,-0.013841,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
100,54.000001,3888.000021,-90.761539,612.282669,0,6.070267,-0.013841,-0.006171,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
101,65,3942.000022,-44.413661,585.883879,0,5.52995,-0.006171,-0.009866,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
102,50,4007.000022,-9.353128,532.026567,0,5.008767,-0.009866,-0.001065,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
103,120,4057.000022,-3.236341,482.565626,0,4.735502,-0.001065,0.000342,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
104,251,4177.000022,-4.75365,362.587008,0,4.692121,0.000342,-0.000341,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
105,106,4428.000022,-6.23734,111.59651,0,4.692282,-0.000341,-0.000694,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
106,1,4534.000022,-10.94218,5.714363,0,4.637441,-0.000694,0.00569,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
