segNum,segLength,cumLength,EInit,NInit,UpInit,psiInit,kStart,kEnd,grade,bank,maxE,maxV,frictionBase,updatedFriction,mapType,totalLength,totalSegs,creationTime,x,y,z,bufferLeft,bufferRight,
92,26.518,2307.1,-271.4,651.26,0,10.24338531,0.0034231,-0.0027399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,25.951,2333,-289.16,631.57,0,10.25248531,-0.0027399,0.00025708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,144,2477,-307.15,612.86,0,10.22028531,0.00025708,-0.00027035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,28.003,2505,-407.33,509.43,0,10.21928531,-0.00027035,0.00089749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,28.554,2533.6,-426.92,489.41,0,10.22808531,0.00089749,0.025843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,21.727,2555.3,-443.77,466.59,0,10.60988531,0.025843,0.022465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,27.494,2582.8,-446.28,445.26,0,11.13468531,0.022465,-0.0017791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,38,2620.8,-437.23,419.41,0,11.41898531,-0.0017791,0.0023257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,29.455,2650.3,-421.88,384.64,0,11.42938531,0.0023257,-0.0051831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,28.935,2679.2,-409.57,357.89,0,11.38728531,-0.0051831,-0.0030444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,62.641,2741.8,-400.28,330.5,0,11.26828531,-0.0030444,-0.0040504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,28.801,2770.6,-389.9,268.86,0,11.04608531,-0.0040504,0.0001827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,90.524,2861.2,-389.54,240.07,0,10.99038531,0.0001827,0.0016678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,41.811,2903,-387.23,149.6,0,11.07418531,0.0016678,-9.37E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,73.96,2976.9,-383.01,108,0,11.10708531,-9.37E-05,2.00E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
